LotNo=8J208472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
1311,2.1341,3.2995,17.3,0.4964,976.51,970.98,441.72,444.62,18.01,3.2995,970.98,441.72,120,137,2.3814,2.319,2.0707,1.7952,2.0604,440.14,2.068,21.82,0.4961,2.1732,2.0707,970.98,441.72,444.62,2.9946,19.52,3.2995,17.3,17.3,0.4964,0.4964,57.13,64.92,33.31,37.36,50.18,38.65,79.76,50.45,72.23
1312,2.4418,3.4679,20.5,1.7486,1086.89,1000.47,448.77,445.25,21.91,3.4679,1000.47,448.77,121,137,1.9064,2.4797,1.6916,1.8108,0.3426,442.87,0.9012,18.93,1.2747,2.0305,1.6916,1000.47,448.77,445.25,0.1493,21.64,3.4679,20.5,20.5,1.7486,1.7486,49.47,41.16,62.27,55.74,66.65,61.62,30.82,43.01,77.66
1313,2.4796,3.0283,31.3,2.3025,864.75,1307.37,442.88,450.18,19.12,3.0283,1307.37,442.88,122,137,1.8408,1.7927,1.7546,2.3928,1.1432,440.49,0.5976,21.06,2.3382,2.0787,1.7546,1307.37,442.88,450.18,0.4607,20.83,3.0283,31.3,31.3,2.3025,2.3025,48.81,66.91,73.96,38.41,34.25,48.7,67.77,68.01,66.34
1314,2.1199,3.2818,30.1,2.979,1179.48,864.15,451.97,451.73,18.41,3.2818,864.15,451.97,123,137,2.1339,1.8001,2.0629,2.2839,0.5068,458.04,0.2338,19.19,1.4935,0.1544,2.0629,864.15,451.97,451.73,1.2756,19.41,3.2818,30.1,30.1,2.979,2.979,77.54,70.62,45.4,47.22,76.14,60.08,52.95,43.75,40.31
1315,1.8775,3.1347,26.5,1.119,843.87,1178.3,452.99,456.66,20.96,3.1347,1178.3,452.99,124,137,1.8559,1.5251,1.9634,1.6188,0.2071,445.67,2.4086,20.72,2.17,1.5935,1.9634,1178.3,452.99,456.66,1.9693,19.43,3.1347,26.5,26.5,1.119,1.119,71.92,36.23,74.27,57.01,78.77,74.79,49.13,51.15,40.22
1316,2.3609,2.8223,13,1.444,1245.51,1160.85,448.89,447.97,19.31,2.8223,1160.85,448.89,125,137,1.8078,1.6417,2.4015,2.4849,2.4018,449.14,2.565,18.4,0.6604,1.3451,2.4015,1160.85,448.89,447.97,1.4721,18.22,2.8223,13,13,1.444,1.444,63.59,37.75,75.98,39.58,54.21,44.36,40.14,34.73,69.04
1317,2.3135,2.8011,40,0.2979,1404.24,1280.24,455.18,453.57,19.81,2.8011,1280.24,455.18,126,137,1.6921,2.168,2.2339,1.5588,1.0399,443.65,2.1284,18.81,2.2286,2.6211,2.2339,1280.24,455.18,453.57,1.8782,18.52,2.8011,40,40,0.2979,0.2979,50.24,76.31,52.99,31.07,76.75,46.88,44.45,32.06,70.94
1318,2.1368,3.1267,16.2,2.4239,1380.46,836.01,454.65,459.87,19.38,3.1267,836.01,454.65,127,137,1.8802,1.54,2.1314,2.124,2.1958,455.44,1.9407,21.02,0.2069,1.8744,2.1314,836.01,454.65,459.87,2.6629,21.32,3.1267,16.2,16.2,2.4239,2.4239,66.61,61.84,47.84,41.97,52.27,60.93,78.39,32.62,72.24
1319,2.2162,3.0026,32.6,1.1323,1002.21,1115.97,451.57,454.2,19.96,3.0026,1115.97,451.57,128,137,1.6532,2.1378,2.2414,1.6441,1.415,446.03,0.827,21.42,0.0854,2.4876,2.2414,1115.97,451.57,454.2,1.0442,19.41,3.0026,32.6,32.6,1.1323,1.1323,68.76,38.08,52.92,50.38,40.61,34.4,58.5,34.28,57.07
1320,2.2342,3.2849,31.2,0.6724,1366.08,1019.35,458.27,441.92,19.01,3.2849,1019.35,458.27,129,137,2.0245,2.1156,2.2518,1.7354,0.5603,445.64,1.3087,19.47,1.7018,1.3888,2.2518,1019.35,458.27,441.92,1.3951,18.27,3.2849,31.2,31.2,0.6724,0.6724,47.38,71.27,42.97,53.27,52.88,52.54,30.2,58.72,69.29
1321,2.222,3.4448,39.5,2.1161,1178.29,834.45,449.3,454.77,18.75,3.4448,834.45,449.3,130,137,1.7811,2.3917,1.6681,2.4297,0.6288,455,0.6904,20.85,2.1039,2.4506,1.6681,834.45,449.3,454.77,1.0487,21.53,3.4448,39.5,39.5,2.1161,2.1161,59.34,52.36,77.23,78.49,61.31,32.96,33.07,48.88,72.24
1322,1.7696,3.3702,31.3,1.6131,1465.29,1355.44,449.81,457.99,21.04,3.3702,1355.44,449.81,131,137,1.5773,1.5998,2.4419,2.1151,2.2204,458.23,0.5074,18.97,0.1376,2.9792,2.4419,1355.44,449.81,457.99,0.8726,21.05,3.3702,31.3,31.3,1.6131,1.6131,36.37,66.99,77.85,61.17,61.93,44.22,44.41,72.14,71.4
1323,2.042,3.2349,18.6,2.354,1281.08,989.72,443.61,454.3,19.77,3.2349,989.72,443.61,132,137,1.5415,2.495,2.1988,2.4587,0.6481,452.82,1.1417,21.12,0.7536,0.4559,2.1988,989.72,443.61,454.3,0.4933,21.78,3.2349,18.6,18.6,2.354,2.354,47.99,52.01,54.57,41,73.06,72.21,55.09,51.35,42.43
1324,2.1266,2.977,31.7,0.2711,876,1102.3,453.1,454.77,20.74,2.977,1102.3,453.1,133,137,2.0398,2.4112,1.5283,2.3193,2.05,443.82,2.7277,21.33,1.6017,2.7714,1.5283,1102.3,453.1,454.77,1.4074,19.96,2.977,31.7,31.7,0.2711,0.2711,59.75,66.23,34.18,30.57,49.69,30.9,63.08,35.05,37.46
1325,2.1426,3.0759,29.4,0.3164,1286.08,1236.09,458.65,442.91,19.86,3.0759,1236.09,458.65,134,137,1.5056,1.7404,1.891,1.6845,0.1822,456.86,0.7624,19.02,1.8316,2.5262,1.891,1236.09,458.65,442.91,1.6335,20.07,3.0759,29.4,29.4,0.3164,0.3164,74.79,76.05,76.41,46.92,60.08,45.33,36.49,75.72,51.28
1326,2.2016,3.2646,24.9,0.9729,1169.73,827.65,457.91,445.31,20.5,3.2646,827.65,457.91,135,137,1.7345,1.6115,2.1673,1.5543,2.3742,459.15,1.3581,21.78,2.2853,1.2687,2.1673,827.65,457.91,445.31,0.8368,18.33,3.2646,24.9,24.9,0.9729,0.9729,31.75,44.32,54.84,33.3,35.55,48.21,55.52,48.41,39.37
1327,2.1773,3.166,15.1,2.2826,1134.56,958.7,442.8,448.64,19.42,3.166,958.7,442.8,136,137,1.788,1.6333,2.1265,1.6131,1.4697,451.29,0.1176,19.46,2.2275,1.1758,2.1265,958.7,442.8,448.64,2.6972,20.58,3.166,15.1,15.1,2.2826,2.2826,33.71,58.36,36.62,78.95,34.35,60.88,63.26,75.62,64.04
1328,2.1161,2.8952,40,0.1232,858.21,1229.28,443.67,457.35,19.35,2.8952,1229.28,443.67,137,137,2.1579,2.0552,2.298,1.8148,1.6773,457.92,0.0213,19.22,0.3918,0.2309,2.298,1229.28,443.67,457.35,1.1586,21.05,2.8952,40,40,0.1232,0.1232,41.32,36.93,52.9,59.21,72.33,57.85,75.41,55.32,32.48
1329,1.76,3.3536,21.6,2.2689,1286.8,1418.35,445.61,457.44,20.99,3.3536,1418.35,445.61,138,137,2.175,2.4911,2.3299,1.7285,0.5989,455.39,2.9179,18.11,2.7672,2.8788,2.3299,1418.35,445.61,457.44,0.3897,18.6,3.3536,21.6,21.6,2.2689,2.2689,72.71,62.38,79.66,52.52,35.35,79.95,71.06,43.48,49.54
1330,2.0836,3.1569,19,0.8795,1078.96,897.65,444.11,451.42,21.39,3.1569,897.65,444.11,139,137,2.2163,1.5115,2.2462,1.9625,1.2312,454.8,0.5316,18.02,1.567,1.152,2.2462,897.65,444.11,451.42,0.5153,20.62,3.1569,19,19,0.8795,0.8795,37.53,38.97,72.75,78.88,65.86,75.74,66.57,44.85,51.3
1331,1.7373,3.0369,48.2,0.9257,1364.1,1036.8,440.27,451.73,19.69,3.0369,1036.8,440.27,140,137,1.6626,2.1916,2.3403,2.4562,2.0376,444.65,1.3841,20.19,1.2865,1.0344,2.3403,1036.8,440.27,451.73,1.359,19.04,3.0369,48.2,48.2,0.9257,0.9257,34.62,42.51,74.3,54.45,34.41,47.18,77.33,62.7,67.76
1332,1.9966,3.2842,35.3,1.9128,1431.58,919.22,455.53,451.22,21.38,3.2842,919.22,455.53,141,137,1.775,1.5183,1.6268,1.9905,2.0027,453.94,2.9072,18.03,2.2477,2.3089,1.6268,919.22,455.53,451.22,2.4939,19.35,3.2842,35.3,35.3,1.9128,1.9128,40.91,71.17,49.37,36.19,50.56,58.42,73.79,32.59,62.75
1333,2.1168,2.8136,27,0.8775,847.97,1154.65,453.49,457.62,19.73,2.8136,1154.65,453.49,142,137,2.2088,2.2088,2.2982,2.4139,1.6574,443.52,1.4444,20.52,0.7286,2.5205,2.2982,1154.65,453.49,457.62,1.5159,20.58,2.8136,27,27,0.8775,0.8775,75.36,73.88,44.69,72.29,59.54,70.06,66.72,40.66,39.63
1334,1.6535,2.8373,38.7,0.5097,1005.04,1011.24,447.08,454.01,19.75,2.8373,1011.24,447.08,143,137,2.244,2.2256,2.1211,2.0936,1.2777,452.36,0.5153,21.83,1.7233,2.6801,2.1211,1011.24,447.08,454.01,2.7313,21.07,2.8373,38.7,38.7,0.5097,0.5097,31.59,42.09,36.69,45.23,51.03,56.92,77.14,49.16,42.86
1335,2.4915,2.9292,13.7,2.3393,914.71,876.1,445.65,454.08,21.45,2.9292,876.1,445.65,144,137,1.5269,2.4275,1.6347,2.0279,1.7345,448.57,1.848,20.65,0.834,0.0812,1.6347,876.1,445.65,454.08,2.3363,20.99,2.9292,13.7,13.7,2.3393,2.3393,75.61,54.81,72.48,49.49,69.13,79.42,62.1,66.29,35.56
1336,2.0757,3.1402,28.5,0.1241,1384.36,1291.33,444.4,454.98,21.98,3.1402,1291.33,444.4,145,137,2.0864,1.9134,2.0263,2.2646,0.2216,440.55,2.2038,20.45,0.7016,1.2972,2.0263,1291.33,444.4,454.98,2.3989,19.52,3.1402,28.5,28.5,0.1241,0.1241,57.31,51.63,76.17,31.44,79.97,79.95,69.39,45.02,32.13
1337,2.1527,2.8511,30.7,0.5875,1154.73,1233.79,454.26,457.46,21.83,2.8511,1233.79,454.26,146,137,1.9684,1.9072,1.8808,1.8204,0.7948,440.33,0.5294,19.25,0.8907,1.2049,1.8808,1233.79,454.26,457.46,1.7668,18.81,2.8511,30.7,30.7,0.5875,0.5875,35.02,73.67,42.74,51.22,55.73,78.03,76.81,62.31,78.82
1338,1.766,3.1011,20,0.8967,1230.99,1473.82,445.83,459.31,18.27,3.1011,1473.82,445.83,147,137,2.1992,2.1231,2.4973,1.5086,1.3888,445.88,1.0052,18.23,1.755,2.9291,2.4973,1473.82,445.83,459.31,0.2706,21.03,3.1011,20,20,0.8967,0.8967,52.97,45.02,60.08,44.03,58.71,39.87,59.98,65.09,62.83
1339,2.2401,3.4564,30.7,2.3842,1062.86,905.93,452.93,457.01,21.37,3.4564,905.93,452.93,148,137,2.3668,1.5631,2.4342,1.5638,1.7875,452.78,0.6894,18.57,1.342,0.2316,2.4342,905.93,452.93,457.01,2.4593,20.7,3.4564,30.7,30.7,2.3842,2.3842,78.77,79.16,70.9,54.01,56.75,73.58,74.78,65.92,68.01
1340,1.5675,3.4981,12,2.9145,1255.76,870.77,454.27,446.04,18.71,3.4981,870.77,454.27,149,137,1.7216,2.4445,1.987,2.4004,1.7207,459.25,1.0897,19.88,2.7235,0.2224,1.987,870.77,454.27,446.04,2.2122,18.06,3.4981,12,12,2.9145,2.9145,46.28,67.66,45.95,51.8,60.31,32.54,58.05,44.4,72.42
1341,2.2193,3.0297,19.8,1.1555,1192.53,1265.41,444.9,455.08,21.65,3.0297,1265.41,444.9,150,137,1.6787,1.6044,1.5233,1.6274,2.357,450.27,1.3091,21.49,2.4242,1.3362,1.5233,1265.41,444.9,455.08,2.5921,19.34,3.0297,19.8,19.8,1.1555,1.1555,65.82,35.69,74.7,39.14,58.82,70.86,38.19,40.62,30.98
1342,1.558,3.0304,18.5,2.6508,1434.62,1295.32,445.27,456.69,19.86,3.0304,1295.32,445.27,151,137,2.0055,1.9161,2.1766,1.9586,1.8451,454.63,0.9848,20.41,1.7501,2.9202,2.1766,1295.32,445.27,456.69,1.6246,21.73,3.0304,18.5,18.5,2.6508,2.6508,56.04,42.58,34.8,33.27,44.04,44.27,35.34,36.89,40.31
1343,1.7383,2.9902,19.7,0.6183,1471.36,959.9,453.06,447.57,18.45,2.9902,959.9,453.06,152,137,2.3858,1.7471,1.6113,2.2299,1.3272,448.46,1.8633,21.71,2.7967,0.1202,1.6113,959.9,453.06,447.57,2.5278,20.52,2.9902,19.7,19.7,0.6183,0.6183,49.19,47.28,62.47,67.15,49.06,77.41,55.44,46.78,48.8
1344,2.0413,3.0734,11.4,0.7008,888.47,1243.31,457,456.67,19.59,3.0734,1243.31,457,153,137,1.5966,1.6075,2.1857,1.7319,2.6879,444.44,1.8441,21.11,1.0264,1.8976,2.1857,1243.31,457,456.67,1.1825,21.97,3.0734,11.4,11.4,0.7008,0.7008,42.6,55.2,38.95,45.92,56.24,35.61,62.96,72.15,64.59
1345,1.6082,2.8904,47.7,2.1163,1470.97,879.06,456.83,447.33,18.88,2.8904,879.06,456.83,103,138,1.5944,2.172,1.9383,2.1697,1.0389,455.9,2.5095,21.42,1.9178,0.8385,1.9383,879.06,456.83,447.33,2.9657,21.17,2.8904,47.7,47.7,2.1163,2.1163,76.88,33.86,69.31,44.79,37.67,49.84,67.08,77.38,56
1346,1.5516,3.4152,44.2,2.4727,1231.2,1383.23,446.44,450.12,18.07,3.4152,1383.23,446.44,104,138,2.4818,1.6572,1.6834,1.9252,1.379,459.72,0.7363,20.31,0.6139,1.7297,1.6834,1383.23,446.44,450.12,2.2512,18.44,3.4152,44.2,44.2,2.4727,2.4727,49.5,62.4,79.7,69.14,66.47,37.4,37.67,77.29,71.81
1347,1.8345,2.8176,25.9,1.0219,1352.37,1061.2,454.62,457.09,21.04,2.8176,1061.2,454.62,105,138,2.4696,1.6485,1.6525,1.8406,0.9935,454.23,0.214,20.21,1.7715,1.7768,1.6525,1061.2,454.62,457.09,0.5176,19.87,2.8176,25.9,25.9,1.0219,1.0219,48.18,72.79,38.31,33.19,79.33,60.58,33.51,30.99,74.54
1348,2.3172,2.9133,40.5,0.8619,1452.68,1451.2,455.27,447.54,19.17,2.9133,1451.2,455.27,106,138,1.6717,1.6525,2.2752,2.1706,1.3473,457.89,2.4521,19.08,0.8628,0.5642,2.2752,1451.2,455.27,447.54,1.3047,21,2.9133,40.5,40.5,0.8619,0.8619,72.38,68.11,71.44,36.2,57.17,61.15,45.07,41.95,71.12
1349,1.7118,3.0155,37.4,1.8244,1436.83,1358.06,442.48,449.98,21.75,3.0155,1358.06,442.48,107,138,1.6532,2.0265,1.921,2.0306,2.7707,449.15,1.7477,20.51,0.2134,0.6555,1.921,1358.06,442.48,449.98,0.4274,20.18,3.0155,37.4,37.4,1.8244,1.8244,34.06,65.42,50.05,62.21,31.98,69.69,37.4,41.3,32.07
1350,1.6182,3.1268,28.1,0.7657,1278.55,1293.66,459.11,444.24,18.61,3.1268,1293.66,459.11,108,138,1.6224,2.2903,2.4809,2.4104,1.8917,455.54,0.575,18.34,2.5066,2.6254,2.4809,1293.66,459.11,444.24,2.2017,18.69,3.1268,28.1,28.1,0.7657,0.7657,73.31,36.75,56.44,79.94,39.2,55.99,51.43,68.66,54.49
1351,1.7212,3.4278,37.1,2.1501,1388.15,868.23,446.11,456.02,20.85,3.4278,868.23,446.11,109,138,2.0517,2.235,2.1904,2.2859,0.7432,457.07,0.6257,18.01,0.0374,2.1787,2.1904,868.23,446.11,456.02,0.681,21.01,3.4278,37.1,37.1,2.1501,2.1501,72.41,74.29,79.03,41.6,71.2,30.78,43.92,54.24,75.17
1352,2.4228,3.0438,46.4,0.9567,964.01,872.31,456.31,456.36,20.94,3.0438,872.31,456.31,110,138,2.4622,1.9289,1.679,2.2611,2.1302,447.26,2.5075,18.97,0.3571,0.3673,1.679,872.31,456.31,456.36,2.0634,20.36,3.0438,46.4,46.4,0.9567,0.9567,38.06,41.45,35.57,49.95,74,65.23,31.41,37.95,58
1353,1.7899,3.4366,28.5,1.9118,1224.51,1067.6,459.49,455.28,18.13,3.4366,1067.6,459.49,111,138,1.9601,1.8711,1.5789,2.328,0.283,450.98,0.9259,21.06,0.4188,2.1574,1.5789,1067.6,459.49,455.28,0.0832,19.49,3.4366,28.5,28.5,1.9118,1.9118,35.32,35.81,34.43,38.73,67.69,39.75,47.71,36.71,55.3
1354,2.2828,3.4913,14.5,0.3163,1016.62,879.46,449.71,441.17,19.37,3.4913,879.46,449.71,112,138,1.9468,1.9041,2.1388,1.9004,0.2865,445.94,1.173,18.07,2.5398,2.297,2.1388,879.46,449.71,441.17,0.4283,19.47,3.4913,14.5,14.5,0.3163,0.3163,50.23,51.11,45.86,62.41,78.55,44.14,63.45,62.55,62.85
1355,2.2808,3.3144,26.2,2.7136,827.91,1138.91,446.85,440.83,18.32,3.3144,1138.91,446.85,113,138,2.2801,2.4921,2.3981,2.3309,0.5426,455.69,2.3142,18.65,1.7537,2.8733,2.3981,1138.91,446.85,440.83,2.4681,21.6,3.3144,26.2,26.2,2.7136,2.7136,51.24,60.4,52.5,79.78,66.5,33.92,58.94,67.26,52.72
1356,1.9703,2.8779,34.1,2.7839,918.72,1148.07,456.74,441.82,19.63,2.8779,1148.07,456.74,114,138,1.5096,1.6459,2.0996,1.747,1.6661,455.18,0.7978,18.28,1.6555,2.3409,2.0996,1148.07,456.74,441.82,2.7334,18.07,2.8779,34.1,34.1,2.7839,2.7839,45.12,42.43,33.12,67.08,66.58,57.6,61.22,68.41,76.39
1357,1.6577,2.9767,37.2,1.9736,897.97,1107.91,445.8,453.87,20.29,2.9767,1107.91,445.8,115,138,2.3619,1.7661,2.4934,2.2884,0.8987,448.18,2.8226,19.87,0.7033,0.0214,2.4934,1107.91,445.8,453.87,0.1541,18.83,2.9767,37.2,37.2,1.9736,1.9736,71.52,39.48,34.5,40.56,66.4,55.17,44.46,66.99,73.05
1358,2.0512,2.9932,26.9,1.1406,883.37,1366.39,454.06,441.89,18.14,2.9932,1366.39,454.06,116,138,2.475,1.8413,1.8749,1.9464,2.0482,457.92,2.0207,21.98,0.0273,1.9768,1.8749,1366.39,454.06,441.89,1.0574,18.2,2.9932,26.9,26.9,1.1406,1.1406,56.94,65.86,40.98,77.05,69.64,72.02,78.21,53.96,50.14
1359,1.5737,2.8753,25.8,0.9757,1399.22,949.17,454.3,456.05,20.04,2.8753,949.17,454.3,117,138,2.0056,2.3216,1.8859,2.4979,0.9072,447.23,2.1709,20.97,2.8884,2.891,1.8859,949.17,454.3,456.05,0.984,18.23,2.8753,25.8,25.8,0.9757,0.9757,56.8,53.68,59.95,76.55,77.5,34.42,43.73,45.05,51.59
1360,1.8854,3.2442,11.5,0.6339,1466.17,1287.23,456.51,457.21,19.85,3.2442,1287.23,456.51,118,138,2.3189,2.3565,1.6899,2.0584,0.5929,455.77,1.2094,19.22,2.4443,2.3084,1.6899,1287.23,456.51,457.21,0.0814,21.41,3.2442,11.5,11.5,0.6339,0.6339,36.36,70.12,77.21,69.49,77.36,77.77,59.17,45,36.89
1361,1.8171,3.441,27.2,0.7578,812.87,1128.57,443.17,455.26,18.66,3.441,1128.57,443.17,119,138,1.9084,2.187,1.5714,2.1283,1.4822,441.3,1.166,19.29,0.8742,0.2112,1.5714,1128.57,443.17,455.26,0.5897,18.02,3.441,27.2,27.2,0.7578,0.7578,71.45,40.63,75.54,76.57,67.51,78.66,53.37,57.21,53.93
1362,1.9547,3.1808,18.8,0.8811,1496.45,1386.73,450.22,442.27,19.22,3.1808,1386.73,450.22,120,138,1.9856,2.0787,1.8076,1.8596,2.0482,447.15,2.394,19.59,1.2916,2.7553,1.8076,1386.73,450.22,442.27,0.1835,18.46,3.1808,18.8,18.8,0.8811,0.8811,79.06,34.05,77.83,68.51,45.1,79.42,56.69,76.89,64.54
1363,1.6368,3.2218,31.5,2.7583,1387.48,936.07,448.77,451.01,19.9,3.2218,936.07,448.77,121,138,2.1492,2.0512,1.9293,1.7122,2.4061,451.28,1.2214,18.27,2.3361,2.7423,1.9293,936.07,448.77,451.01,2.8379,18.7,3.2218,31.5,31.5,2.7583,2.7583,49.35,53.21,58.24,53.86,54.59,50,34.09,74.57,58.22
1364,1.7175,3.0962,38.6,2.6645,1304.81,1049.16,450.24,447.09,21.64,3.0962,1049.16,450.24,122,138,2.4246,1.5204,2.1276,2.4773,1.7955,450.79,1.08,20.1,0.5808,2.6996,2.1276,1049.16,450.24,447.09,2.4425,18.72,3.0962,38.6,38.6,2.6645,2.6645,44.59,59.43,44.49,74.26,46.64,45.33,36.49,50.88,40.58
1365,2.3824,3.4835,26,2.4573,855.13,1194.94,454.15,453.91,18.56,3.4835,1194.94,454.15,123,138,1.6034,1.8337,1.9316,2.4188,1.6014,445.82,2.4694,20.7,0.895,2.7043,1.9316,1194.94,454.15,453.91,0.6861,21.62,3.4835,26,26,2.4573,2.4573,76.97,58.72,65.23,75.88,32.78,69.77,70.83,67.26,46.21
1366,1.7286,3.282,16,1.5281,1482.1,877.61,458.76,451.24,19.06,3.282,877.61,458.76,124,138,2.2712,1.755,2.1016,2.1799,1.3666,444.29,2.0654,21.17,0.7965,0.8092,2.1016,877.61,458.76,451.24,0.431,21.05,3.282,16,16,1.5281,1.5281,73.87,70.89,51.5,55.76,35.99,30.53,44.18,49.07,47.91
1367,2.3955,2.9603,33.3,2.9972,1202.47,1150.58,456.26,448.15,18.73,2.9603,1150.58,456.26,125,138,1.7749,2.0846,1.6612,1.9416,0.8621,440.13,2.4846,20.5,1.4656,2.9535,1.6612,1150.58,456.26,448.15,2.564,18.38,2.9603,33.3,33.3,2.9972,2.9972,72.1,48.53,49.83,66.44,37.55,76.26,49.19,57.23,35.7
1368,2.1832,3.323,30.2,1.6811,1259.55,1429.76,440.9,447.59,18.76,3.323,1429.76,440.9,126,138,2.1613,2.2336,2.1617,2.0608,1.0755,453.63,0.4357,19.59,0.1725,2.6607,2.1617,1429.76,440.9,447.59,0.2693,21.61,3.323,30.2,30.2,1.6811,1.6811,78.21,44.98,37.93,65.29,33.52,46.84,59.27,42.4,38.82
1369,1.978,2.8574,49.5,0.6163,954.39,1108.81,441.08,459.28,18.61,2.8574,1108.81,441.08,127,138,1.8942,2.2224,2.0106,1.5905,0.769,451.53,0.3118,18.36,1.6263,1.4087,2.0106,1108.81,441.08,459.28,0.9531,20.07,2.8574,49.5,49.5,0.6163,0.6163,59.73,30.09,46.27,58.06,52.53,51.06,72.76,30.03,79.02
1370,2.2209,3.117,47.6,1.9266,1288.58,996.44,443.85,450.19,21.9,3.117,996.44,443.85,128,138,1.8162,1.6487,2.0763,1.7637,1.2563,450.63,2.66,20.66,1.8931,1.7425,2.0763,996.44,443.85,450.19,0.1079,19.42,3.117,47.6,47.6,1.9266,1.9266,47.85,55.18,40.4,72.98,47.42,64.44,44.54,50.53,35.06
1371,2.3972,3.1586,18.1,1.4207,1346.64,874.12,441.11,456.99,18.29,3.1586,874.12,441.11,129,138,1.9961,1.7645,2.4619,2.1999,0.7325,441.31,0.9434,21.66,1.5469,1.0686,2.4619,874.12,441.11,456.99,0.4011,20.69,3.1586,18.1,18.1,1.4207,1.4207,68.86,42.37,69.78,67.88,33.14,62.85,30.36,38.06,36.74
1372,1.8607,3.1775,24.6,1.8749,1144.2,906.49,453.86,441.11,20.91,3.1775,906.49,453.86,130,138,2.2563,1.7853,2.2182,1.8342,1.1746,455.4,0.2537,21.76,0.3498,0.1443,2.2182,906.49,453.86,441.11,0.1772,18.57,3.1775,24.6,24.6,1.8749,1.8749,33.14,38.75,75.56,66.55,43.89,36.26,31.14,50.44,68.24
1373,1.578,2.8396,35.4,0.5781,1325.88,1359.98,456.1,444.32,21.31,2.8396,1359.98,456.1,131,138,2.0169,2.4299,1.8486,2.2788,0.2349,452.8,1.2146,18.03,1.8118,2.4631,1.8486,1359.98,456.1,444.32,0.7856,19.91,2.8396,35.4,35.4,0.5781,0.5781,78.1,36.55,31,71.64,76.44,40.57,36.46,47.78,53.09
1374,2.4475,3.2141,33.1,1.4295,982.46,1128.23,443.04,449.46,20.9,3.2141,1128.23,443.04,132,138,2.3955,1.9438,2.3542,2.0854,0.7307,449.85,2.2327,21.61,2.1919,0.6613,2.3542,1128.23,443.04,449.46,1.8738,21.92,3.2141,33.1,33.1,1.4295,1.4295,59.06,56.19,53.91,52.2,70.33,46.34,71.44,44.52,71.79
1375,1.6262,3.1184,37.9,0.5874,894.84,1265.83,447.4,443.4,18.35,3.1184,1265.83,447.4,133,138,1.8691,2.4779,2.2294,2.4397,1.7718,447.94,0.679,21.58,2.3749,2.8182,2.2294,1265.83,447.4,443.4,0.6703,20.38,3.1184,37.9,37.9,0.5874,0.5874,36.03,56.59,65.13,78.86,32.25,77.48,40.26,72.18,37.16
1376,1.5811,3.0918,30.2,0.1195,1403.08,1125.99,453.85,446.93,20.9,3.0918,1125.99,453.85,134,138,2.3731,2.3296,2.071,2.3555,0.3907,444.06,2.4183,19.39,2.0859,0.453,2.071,1125.99,453.85,446.93,0.7902,21.21,3.0918,30.2,30.2,0.1195,0.1195,67.31,52.7,60.14,39.17,50.11,35.94,52.99,37.29,32.72
1377,2.3446,3.069,38.9,0.6289,1221.2,1341.01,449.52,448.38,21.29,3.069,1341.01,449.52,135,138,1.8429,2.2027,2.2132,1.7981,2.2523,457.23,0.2335,20.57,1.7456,1.7268,2.2132,1341.01,449.52,448.38,1.0819,20.75,3.069,38.9,38.9,0.6289,0.6289,69.97,54.03,77.81,53.07,33.65,45.84,53.29,67.92,73.3
1378,2.2993,3.1176,20.8,0.2088,851.23,830.11,451.89,459.17,21.12,3.1176,830.11,451.89,136,138,1.8691,2.1882,2.0972,1.7997,2.6153,445.36,0.439,19.81,1.7124,1.5081,2.0972,830.11,451.89,459.17,1.7654,19.86,3.1176,20.8,20.8,0.2088,0.2088,63.35,50.03,40.13,31.26,39.91,77.91,64.68,77.22,75.91
1379,2.1638,3.001,27.1,1.1632,937.01,969.4,446.27,454.05,18.56,3.001,969.4,446.27,137,138,1.9571,2.1545,1.7386,2.3373,0.1395,454.1,1.6568,21.33,0.8573,1.0326,1.7386,969.4,446.27,454.05,2.9174,21.85,3.001,27.1,27.1,1.1632,1.1632,72.41,44.02,56.98,62.73,61.97,46.42,49.48,67.15,40.1
1380,2.0424,2.828,39.6,0.9851,1003.04,1466.74,444.56,446.9,20.72,2.828,1466.74,444.56,138,138,2.3536,2.3198,2.1785,2.3083,1.3867,441.29,2.8756,20.42,0.689,2.254,2.1785,1466.74,444.56,446.9,1.0326,18.31,2.828,39.6,39.6,0.9851,0.9851,44,33.35,44.34,31.13,37.26,63.13,36.63,40.47,52.62
